# Luminosity of the BIB pair-dump runs themselves, read from their .ref files.
# lumi_ee: cm^-2 s^-1 = lumi_ee[m^-2 per crossing] * 1e-4 * n_b * f_rep,
#   with n_b and f_rep read from the same .ref (factor 1.596), applied once.
# n_pairs: pairs per bunch crossing, as the run counted them.
# ref_filename: path under $GP_RAW_ROOT (see paths.py).
dataset,eps_y_nm,seed,n_x,n_y,n_z,n_m,lumi_ee,n_pairs,ref_filename
tuned,4.0,135135,512,256,64,707831,3.07606656e+34,86832,output_nm/C3_250/512_256_64_707831_test_C3_250_particles_0.624_emittx_0.9_emitty_0.004_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_135135.ref
tuned,4.0,143455,512,256,64,707831,3.10422e+34,88392,output_nm/C3_250/512_256_64_707831_test_C3_250_particles_0.624_emittx_0.9_emitty_0.004_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_143455.ref
tuned,4.0,145992,512,256,64,707831,3.1874992800000003e+34,88640,output_nm/C3_250/512_256_64_707831_test_C3_250_particles_0.624_emittx_0.9_emitty_0.004_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_145992.ref
tuned,4.0,153768,512,256,64,707831,3.05994696e+34,85600,output_nm/C3_250/512_256_64_707831_test_C3_250_particles_0.624_emittx_0.9_emitty_0.004_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_153768.ref
tuned,4.0,159302,512,256,64,707831,3.2013046800000004e+34,88476,output_nm/C3_250/512_256_64_707831_test_C3_250_particles_0.624_emittx_0.9_emitty_0.004_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_159302.ref
tuned,4.0,167029,512,256,64,707831,3.2197544400000002e+34,89184,output_nm/C3_250/512_256_64_707831_test_C3_250_particles_0.624_emittx_0.9_emitty_0.004_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_167029.ref
tuned,4.0,167815,512,256,64,707831,3.23033592e+34,90144,output_nm/C3_250/512_256_64_707831_test_C3_250_particles_0.624_emittx_0.9_emitty_0.004_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_167815.ref
tuned,8.0,100805,512,256,64,223499,2.27489052e+34,69064,output_nm/C3_250/512_256_64_223499_test_C3_250_particles_0.624_emittx_0.9_emitty_0.008_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_100805.ref
tuned,8.0,105469,512,256,64,223499,2.2547649600000005e+34,68576,output_nm/C3_250/512_256_64_223499_test_C3_250_particles_0.624_emittx_0.9_emitty_0.008_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_105469.ref
tuned,8.0,130471,512,256,64,223499,2.20190544e+34,67946,output_nm/C3_250/512_256_64_223499_test_C3_250_particles_0.624_emittx_0.9_emitty_0.008_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_130471.ref
tuned,8.0,135135,512,256,64,223499,2.16540492e+34,66106,output_nm/C3_250/512_256_64_223499_test_C3_250_particles_0.624_emittx_0.9_emitty_0.008_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_135135.ref
tuned,8.0,143455,512,256,64,223499,2.24913108e+34,68824,output_nm/C3_250/512_256_64_223499_test_C3_250_particles_0.624_emittx_0.9_emitty_0.008_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_143455.ref
tuned,8.0,145992,512,256,64,223499,2.3010010799999996e+34,70264,output_nm/C3_250/512_256_64_223499_test_C3_250_particles_0.624_emittx_0.9_emitty_0.008_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_145992.ref
tuned,8.0,153768,512,256,64,223499,2.1849399600000003e+34,67350,output_nm/C3_250/512_256_64_223499_test_C3_250_particles_0.624_emittx_0.9_emitty_0.008_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_153768.ref
tuned,8.0,159302,512,256,64,223499,2.23087284e+34,68008,output_nm/C3_250/512_256_64_223499_test_C3_250_particles_0.624_emittx_0.9_emitty_0.008_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_159302.ref
tuned,8.0,167029,512,256,64,223499,2.2164609600000002e+34,68114,output_nm/C3_250/512_256_64_223499_test_C3_250_particles_0.624_emittx_0.9_emitty_0.008_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_167029.ref
tuned,8.0,167815,512,256,64,223499,2.19185064e+34,67084,output_nm/C3_250/512_256_64_223499_test_C3_250_particles_0.624_emittx_0.9_emitty_0.008_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_167815.ref
tuned,20.0,100805,512,256,64,48411,1.3565409479999998e+34,46756,output_nm/C3_250/512_256_64_48411_test_C3_250_particles_0.624_emittx_0.9_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_100805.ref
tuned,20.0,105469,512,256,64,48411,1.350827268e+34,47536,output_nm/C3_250/512_256_64_48411_test_C3_250_particles_0.624_emittx_0.9_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_105469.ref
tuned,20.0,130471,512,256,64,48411,1.3115289600000002e+34,45764,output_nm/C3_250/512_256_64_48411_test_C3_250_particles_0.624_emittx_0.9_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_130471.ref
tuned,20.0,135135,512,256,64,48411,1.372516908e+34,47770,output_nm/C3_250/512_256_64_48411_test_C3_250_particles_0.624_emittx_0.9_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_135135.ref
tuned,20.0,143455,512,256,64,48411,1.3748949479999999e+34,47426,output_nm/C3_250/512_256_64_48411_test_C3_250_particles_0.624_emittx_0.9_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_143455.ref
tuned,20.0,145992,512,256,64,48411,1.37329416e+34,47920,output_nm/C3_250/512_256_64_48411_test_C3_250_particles_0.624_emittx_0.9_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_145992.ref
tuned,20.0,153768,512,256,64,48411,1.3375293960000002e+34,46146,output_nm/C3_250/512_256_64_48411_test_C3_250_particles_0.624_emittx_0.9_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_153768.ref
tuned,20.0,159302,512,256,64,48411,1.3420875720000001e+34,46682,output_nm/C3_250/512_256_64_48411_test_C3_250_particles_0.624_emittx_0.9_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_159302.ref
tuned,20.0,167029,512,256,64,48411,1.347855516e+34,46966,output_nm/C3_250/512_256_64_48411_test_C3_250_particles_0.624_emittx_0.9_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_167029.ref
tuned,20.0,167815,512,256,64,48411,1.3313816040000002e+34,46680,output_nm/C3_250/512_256_64_48411_test_C3_250_particles_0.624_emittx_0.9_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_167815.ref
