filename,source_dir,seed,emitx_nm,emity_nm,n_reach,n_total
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.005_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_159302.ref,output,159302,100.0,5.0,1321,1393452
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.005_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_167029.ref,output,167029,100.0,5.0,1358,1463356
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.005_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_167815.ref,output,167815,100.0,5.0,1369,1391482
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.005_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_286038.ref,output,286038,100.0,5.0,1445,1532844
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.005_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_360177.ref,output,360177,100.0,5.0,1243,1317628
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.005_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_479728.ref,output,479728,100.0,5.0,1283,1408248
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.005_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_527875.ref,output,527875,100.0,5.0,1224,1372458
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.005_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_733579.ref,output,733579,100.0,5.0,1438,1472056
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.006_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_100805.ref,output,100805,100.0,6.0,1377,1389220
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.006_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_105469.ref,output,105469,100.0,6.0,1303,1400840
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.006_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_130471.ref,output,130471,100.0,6.0,1358,1428190
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.006_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_135135.ref,output,135135,100.0,6.0,1486,1474670
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.006_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_143455.ref,output,143455,100.0,6.0,1365,1436594
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.006_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_145992.ref,output,145992,100.0,6.0,1475,1496080
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.006_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_153768.ref,output,153768,100.0,6.0,1341,1414124
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.006_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_159302.ref,output,159302,100.0,6.0,1316,1343076
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.006_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_167029.ref,output,167029,100.0,6.0,1318,1390070
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.006_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_167815.ref,output,167815,100.0,6.0,1325,1355228
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.006_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_286038.ref,output,286038,100.0,6.0,1335,1414694
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.006_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_360177.ref,output,360177,100.0,6.0,1183,1269390
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.006_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_479728.ref,output,479728,100.0,6.0,1294,1379848
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.006_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_527875.ref,output,527875,100.0,6.0,1210,1325582
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.008_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_100805.ref,output,100805,100.0,8.0,1295,1311970
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.008_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_105469.ref,output,105469,100.0,8.0,1301,1330498
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.008_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_130471.ref,output,130471,100.0,8.0,1331,1349720
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.008_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_135135.ref,output,135135,100.0,8.0,1267,1349594
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.008_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_143455.ref,output,143455,100.0,8.0,1190,1298880
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.008_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_145992.ref,output,145992,100.0,8.0,1283,1366508
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.008_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_153768.ref,output,153768,100.0,8.0,1283,1312198
512_512_25_test_C3_250_particles_0.624_emittx_0.1_emitty_0.008_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_159302.ref,output,159302,100.0,8.0,1208,1289866
