dataset,eps_y_nm,seed,n_x,n_y,n_z,n_m,channel,n_pairs,n_reach,frac_of_total_pct,reach_frac_of_total_pct,reach_pct,pt_median_MeV,pt_mean_MeV,pt_p90_MeV,pt_p99_MeV,pt_max_MeV,pt_median_reach_MeV,E_median_GeV,E_mean_GeV,theta_median_mrad,frac_pt_gt_20MeV
nominal,2.0,167815,512,512,25,100000,BH,54642,37,53.21788928279247,41.111111111111114,0.06771348047289631,3.3091229402051554,8.004103633212793,23.315934328462742,45.54737632757365,123.44196433040435,16.620499472232392,0.24734899999999999,1.5617973209054756,11.750366665799989,13.275502360821346
nominal,2.0,167815,512,512,25,100000,LL,45542,42,44.35505863103354,46.666666666666664,0.09222256378727328,1.3169411672522102,5.286982345501058,15.162180628669141,50.20102234736535,1090.1559274242168,17.86186823201561,0.0184772,0.8877231887540292,56.60693297321999,7.204338852048658
nominal,2.0,167815,512,512,25,100000,ALL,102676,90,100.0,100.0,0.08765436908333009,2.1209691671683544,6.720595860383621,20.52246054742322,47.194188367788065,1090.1559274242168,18.630820122244067,0.07782154999999999,1.2395830781875024,22.42253649236381,10.39191242354591
nominal,4.0,100805,512,512,25,100000,BW,2006,5,2.2617597979524646,6.666666666666667,0.24925224327018944,1.5956641510863028,4.584446256520149,12.600941194413917,37.47094702514587,62.21913068418608,27.22976387810352,0.0248928,0.585474107065304,41.00815264896722,5.333998005982054
nominal,4.0,100805,512,512,25,100000,BH,48540,22,54.72872412393451,29.333333333333332,0.04532344458178822,3.286209609714117,7.864715700210468,22.689502746794464,44.114709859057186,82.50106244557435,14.89347580721859,0.2501035,1.5660291765669963,11.291469057789879,12.583436341161928
nominal,4.0,100805,512,512,25,100000,LL,38146,48,43.00951607811302,64.0,0.12583232842237718,1.2980354677343209,5.213573794566086,15.503387879472118,49.2762263154171,90.8064455686546,15.699546059940454,0.01880445,0.9267020143401667,54.542625991334496,7.327111623761338
nominal,4.0,100805,512,512,25,100000,ALL,88692,75,100.0,100.0,0.08456230550669734,2.1477432356324333,6.650280580506849,20.175689884987683,45.540124672923625,90.8064455686546,15.393801121574745,0.08360495000000001,1.2688798575785303,20.85323288542451,10.158751634871239
nominal,4.0,105469,512,512,25,100000,BW,2030,8,2.31397045413095,10.256410256410257,0.39408866995073893,1.5621265737767822,4.636863068997468,13.3478768734673,37.00315310381541,74.78434720457943,38.56713199997602,0.02663895,0.584074510791133,46.482020929331746,5.172413793103448
nominal,4.0,105469,512,512,25,100000,BH,47490,38,54.13322998358563,48.717948717948715,0.08001684565171616,3.369933789730631,7.988227937047546,23.113233687670974,45.050538112864295,135.10961288553432,14.91901432314234,0.257227,1.5860838139138136,11.249465542062943,12.935354811539272
nominal,4.0,105469,512,512,25,100000,LL,38208,32,43.55279956228342,41.02564102564103,0.08375209380234507,1.288046078836418,5.135683797230968,15.147144401472021,48.312516134089506,93.78099801454957,18.413555209244326,0.0183419,0.9194444206840191,55.67146738081541,6.982830820770519
