dataset,eps_y_nm,seed,n_x,n_y,n_z,n_m,channel,n_pairs,n_reach,reach_pct,median_pt_MeV,median_pt_reach_MeV
nominal,1.0,159302,512,512,25,100000,BH,64428,53,0.08226237039796362,3.3724130074537038,17.721018432413608
nominal,1.0,159302,512,512,25,100000,BW,2848,15,0.526685393258427,1.5393265002468428,18.09859638691381
nominal,1.0,159302,512,512,25,100000,LL,54478,56,0.1027937883182202,1.3471868758833332,14.546102580276667
nominal,1.0,167029,512,512,25,100000,ALL,127202,102,0.08018741843681704,2.1929658809912804,14.559569674835128
nominal,1.0,167029,512,512,25,100000,BH,67114,52,0.07748010847215187,3.388757382145327,14.38680240225966
nominal,1.0,167029,512,512,25,100000,BW,3016,9,0.2984084880636605,1.4960798812345883,18.041698960035053
nominal,1.0,167029,512,512,25,100000,LL,57072,41,0.07183908045977011,1.3790640422601301,15.000873174491744
nominal,1.0,167815,512,512,25,100000,ALL,123476,123,0.09961449998380252,2.1513566422585377,14.939659997801677
nominal,1.0,167815,512,512,25,100000,BH,64300,53,0.08242612752721618,3.370320126657918,14.017907223095557
nominal,1.0,167815,512,512,25,100000,BW,2924,11,0.3761969904240766,1.555932413834358,13.231802884381093
nominal,1.0,167815,512,512,25,100000,LL,56252,59,0.1048851596387684,1.3301148242816632,16.30986774828148
calibrated,8.0,100805,512,128,64,250000,ALL,67912,83,0.12221698668865591,2.0748232766305197,16.764343892617067
calibrated,8.0,100805,512,128,64,250000,BH,36848,38,0.10312635692574902,3.2719144670394877,21.21403538992086
calibrated,8.0,100805,512,128,64,250000,BW,1496,10,0.6684491978609626,1.461990303920138,12.84759833815276
calibrated,8.0,100805,512,128,64,250000,LL,29568,35,0.11837121212121213,1.2388269432851169,15.444008023230795
calibrated,8.0,105469,512,128,64,250000,ALL,66918,65,0.09713380555306494,2.0549700109734874,16.8685641104381
calibrated,8.0,105469,512,128,64,250000,BH,36656,40,0.10912265386294194,3.217002269308277,17.396746959267844
calibrated,8.0,105469,512,128,64,250000,BW,1518,10,0.6587615283267457,1.53861412260256,16.219933359156695
calibrated,8.0,105469,512,128,64,250000,LL,28744,15,0.05218480378513777,1.2001602826354536,16.817230530345196
calibrated,8.0,130471,512,128,64,250000,ALL,67074,54,0.08050809553627337,2.0632871256675105,15.384075261840755
calibrated,8.0,130471,512,128,64,250000,BH,36376,26,0.07147569826259072,3.1993781074399807,16.03032526589461
calibrated,8.0,130471,512,128,64,250000,BW,1540,4,0.2597402597402597,1.5790044151268756,11.358901348319634
calibrated,8.0,130471,512,128,64,250000,LL,29158,24,0.08231017216544345,1.2439136984550903,14.679440786858091
calibrated,8.0,135135,512,128,64,250000,ALL,66302,61,0.09200325782027692,2.03893491076748,13.91930545407157
calibrated,8.0,135135,512,128,64,250000,BH,36208,23,0.0635218736190897,3.1487706109695295,13.91930545407157
calibrated,8.0,135135,512,128,64,250000,BW,1468,1,0.0681198910081744,1.45229983754769,12.945938263498883
calibrated,8.0,135135,512,128,64,250000,LL,28626,37,0.12925312652833088,1.2216524868651022,14.147884738655652
calibrated,8.0,143455,512,128,64,250000,ALL,68016,76,0.11173841449070807,2.050064070175478,15.43491224430743
calibrated,8.0,143455,512,128,64,250000,BH,37010,34,0.09186706295595785,3.170890486529989,14.542893805251877
calibrated,8.0,143455,512,128,64,250000,BW,1542,12,0.7782101167315175,1.4704967398897788,22.23260963695911
calibrated,8.0,143455,512,128,64,250000,LL,29464,30,0.10181916915557969,1.2303423355798926,15.725245026399385
calibrated,8.0,145992,512,128,64,250000,ALL,67590,51,0.0754549489569463,2.0703876435730053,15.86465748800174
calibrated,8.0,145992,512,128,64,250000,BH,36596,20,0.05465078150617554,3.2790871381801443,14.140156831722893
calibrated,8.0,145992,512,128,64,250000,BW,1574,9,0.5717916137229987,1.5902197424286069,26.356993768403523
calibrated,8.0,145992,512,128,64,250000,LL,29420,22,0.07477906186267845,1.2293542683516576,13.732142323157445
calibrated,8.0,153768,512,128,64,250000,ALL,65842,70,0.106315118009781,2.0687787330859497,15.54490032636745
calibrated,8.0,153768,512,128,64,250000,BH,35820,30,0.08375209380234507,3.231360928821729,14.868960283492584
calibrated,8.0,153768,512,128,64,250000,BW,1490,6,0.40268456375838924,1.593144591765242,20.790020047810255
calibrated,8.0,153768,512,128,64,250000,LL,28532,34,0.11916444693677275,1.2342152684338288,15.54490032636745
calibrated,8.0,159302,512,128,64,250000,ALL,67270,51,0.0758138843466627,2.066568509121519,15.105767792096643
calibrated,8.0,159302,512,128,64,250000,BH,36692,20,0.054507794614629894,3.236373731507314,16.086790536536277
calibrated,8.0,159302,512,128,64,250000,BW,1576,3,0.19035532994923857,1.4775016114587358,53.77231080679007
calibrated,8.0,159302,512,128,64,250000,LL,29002,28,0.09654506585752706,1.2664432988700876,14.038836393126298
calibrated,8.0,167029,512,128,64,250000,ALL,66466,73,0.10983059007612915,2.0666154867018873,17.458575996417945
calibrated,8.0,167029,512,128,64,250000,BH,36244,27,0.07449508884229114,3.2558190856451015,17.62399913304142
calibrated,8.0,167029,512,128,64,250000,BW,1516,12,0.7915567282321899,1.542533129931738,18.957604070242343
calibrated,8.0,167029,512,128,64,250000,LL,28706,34,0.11844213753222323,1.2083496902390636,14.518446597168538
calibrated,8.0,167815,512,128,64,250000,ALL,66100,62,0.09379727685325265,2.0513669344192795,15.396892908548132
calibrated,8.0,167815,512,128,64,250000,BH,36074,29,0.08039030880966902,3.177711939968257,15.925962527021438
calibrated,8.0,167815,512,128,64,250000,BW,1506,9,0.5976095617529881,1.5830401345412701,19.34101671682943
